G_ID,day,val
966,2015-02-05 00:00:00.000,0.79
966,2016-02-05 00:00:00.000,0.15
966,2004-02-06 00:00:00.000,0.19
966,2005-02-06 00:00:00.000,0.40
966,2006-02-06 00:00:00.000,0.00
966,2007-02-06 00:00:00.000,0.03
966,2009-02-06 00:00:00.000,0.06
966,2010-02-06 00:00:00.000,0.09
966,2011-02-06 00:00:00.000,0.20
966,2012-02-06 00:00:00.000,0.01
966,2013-02-06 00:00:00.000,0.09
966,2014-02-06 00:00:00.000,0.00
966,2015-02-06 00:00:00.000,0.79
966,2016-02-06 00:00:00.000,0.20
966,2004-02-07 00:00:00.000,0.01
966,2005-02-07 00:00:00.000,0.01
966,2006-02-07 00:00:00.000,0.01
966,2007-02-07 00:00:00.000,0.20
966,2009-02-07 00:00:00.000,0.01
966,2010-02-07 00:00:00.000,0.03
966,2011-02-07 00:00:00.000,0.16
966,2012-02-07 00:00:00.000,0.01
966,2013-02-07 00:00:00.000,0.09
966,2014-02-07 00:00:00.000,0.02
966,2015-02-07 00:00:00.000,1.30
966,2016-02-07 00:00:00.000,0.00
966,2004-02-08 00:00:00.000,0.00
966,2005-02-08 00:00:00.000,0.01
966,2006-02-08 00:00:00.000,0.05
966,2007-02-08 00:00:00.000,0.01
966,2009-02-08 00:00:00.000,0.00
966,2010-02-08 00:00:00.000,0.00
966,2011-02-08 00:00:00.000,0.01
966,2012-02-08 00:00:00.000,0.20
966,2013-02-08 00:00:00.000,0.00
966,2014-02-08 00:00:00.000,0.00
966,2015-02-08 00:00:00.000,0.20
966,2016-02-08 00:00:00.000,0.00
966,2004-02-09 00:00:00.000,0.00
966,2005-02-09 00:00:00.000,0.00
966,2006-02-09 00:00:00.000,0.00
966,2007-02-09 00:00:00.000,0.13
966,2009-02-09 00:00:00.000,0.00
966,2010-02-09 00:00:00.000,0.01
966,2011-02-09 00:00:00.000,0.00
966,2012-02-09 00:00:00.000,0.22
966,2013-02-09 00:00:00.000,0.00
966,2014-02-09 00:00:00.000,0.27
966,2015-02-09 00:00:00.000,0.19
966,2016-02-09 00:00:00.000,0.00
966,2004-02-10 00:00:00.000,0.00
966,2005-02-10 00:00:00.000,0.01
966,2006-02-10 00:00:00.000,0.00
966,2007-02-10 00:00:00.000,0.11
966,2009-02-10 00:00:00.000,0.19
966,2010-02-10 00:00:00.000,0.20
